Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.4,1.426666,1.366666,1.366666,0.204415,1029600.0
2000-01-04,1.366666,1.37,1.301666,1.301666,0.194692,628200.0
2000-01-05,1.3,1.316666,1.253333,1.315,0.196687,957600.0
2000-01-06,1.315,1.333333,1.3,1.333333,0.199429,410400.0
2000-01-07,1.333333,1.333333,1.303333,1.303333,0.194942,788400.0
2000-01-10,1.365,1.376666,1.333333,1.375,0.205661,1098000.0
2000-01-11,1.383333,1.426666,1.338333,1.356666,0.202919,1285200.0
2000-01-12,1.366666,1.383333,1.341666,1.375,0.205661,1168200.0
2000-01-13,1.4,1.416666,1.351666,1.351666,0.202171,1103400.0
2000-01-14,1.366666,1.383333,1.35,1.35,0.201922,496800.0
2000-01-17,1.333333,1.366666,1.32,1.36,0.203417,298800.0
2000-01-18,1.333333,1.406666,1.333333,1.396666,0.208902,612000.0
2000-01-19,1.398333,1.413333,1.366666,1.381666,0.206658,210600.0
2000-01-20,1.36,1.403333,1.36,1.373333,0.205412,689400.0
2000-01-21,1.366666,1.4,1.353333,1.385,0.207157,316800.0
2000-01-24,1.35,1.416666,1.35,1.351666,0.202171,1794600.0
2000-01-25,1.351666,1.351666,1.351666,1.351666,0.202171,0.0
2000-01-26,1.351666,1.391666,1.351666,1.383333,0.206907,293400.0
2000-01-27,1.416666,1.416666,1.351666,1.353333,0.20242,405000.0
2000-01-28,1.4,1.4,1.311666,1.318333,0.197185,1071000.0
2000-01-31,1.325,1.325,1.3,1.316666,0.196936,572400.0
2000-02-01,1.32,1.32,1.303333,1.316666,0.196936,554400.0
2000-02-02,1.316666,1.316666,1.3,1.303333,0.194942,153000.0
2000-02-03,1.333333,1.333333,1.303333,1.316666,0.196936,277200.0
2000-02-04,1.333333,1.358333,1.31,1.333333,0.199429,509400.0
2000-02-07,1.335,1.335,1.308333,1.311666,0.196188,642600.0
2000-02-08,1.333333,1.35,1.318333,1.341666,0.200675,2721600.0
2000-02-09,1.333333,1.37,1.333333,1.341666,0.200675,356400.0
2000-02-10,1.333333,1.333333,1.308333,1.323333,0.197933,1814400.0
2000-02-11,1.323333,1.333333,1.315,1.316666,0.196936,1090800.0
2000-02-14,1.315,1.315,1.263333,1.303333,0.194942,597600.0
2000-02-15,1.281666,1.281666,1.218333,1.245,0.186217,781200.0
2000-02-16,1.245,1.316666,1.216666,1.273333,0.190455,2455200.0
2000-02-17,1.25,1.266666,1.243333,1.248333,0.186715,1508400.0
2000-02-18,1.248333,1.308333,1.241666,1.25,0.186965,504000.0
2000-02-21,1.258333,1.383333,1.241666,1.303333,0.194942,1875600.0
2000-02-22,1.35,1.35,1.283333,1.285,0.1922,394200.0
2000-02-23,1.285,1.331666,1.27,1.315,0.196687,903600.0
2000-02-24,1.315,1.366666,1.25,1.25,0.186965,1197000.0
2000-02-25,1.25,1.315,1.243333,1.258333,0.188211,1519200.0
2000-02-28,1.275,1.3,1.243333,1.275,0.190704,181800.0
2000-02-29,1.25,1.251666,1.23,1.241666,0.185718,2057400.0
2000-03-01,1.25,1.25,1.223333,1.225,0.183225,1758600.0
2000-03-02,1.266666,1.3,1.22,1.225,0.183225,1135800.0
2000-03-03,1.223333,1.25,1.223333,1.233333,0.184472,1465200.0
2000-03-06,1.233333,1.233333,1.233333,1.233333,0.184472,0.0
2000-03-07,1.233333,1.233333,1.233333,1.233333,0.184472,0.0
2000-03-08,1.266666,1.283333,1.2,1.283333,0.19195,1128600.0
2000-03-09,1.233333,1.233333,1.208333,1.233333,0.184472,1582200.0
2000-03-10,1.25,1.281666,1.238333,1.273333,0.190455,162000.0
2000-03-13,1.273333,1.273333,1.273333,1.273333,0.190455,0.0
2000-03-14,1.225,1.225,1.173333,1.173333,0.175497,1423800.0
2000-03-15,1.216666,1.216666,1.12,1.158333,0.173254,2028600.0
2000-03-16,1.196666,1.196666,1.133333,1.166666,0.1745,1344600.0
