Date,Open,High,Low,Close,Adj Close,Volume
2002-03-01,3.2,3.216,3.176,3.2,1.331445,482.0
2002-03-04,3.2,3.2,3.04,3.2,1.331445,158.0
2002-03-05,3.16,3.24,3.072,3.072,1.278187,143.0
2002-03-06,3.136,3.16,3.072,3.08,1.281515,448.0
2002-03-07,3.08,3.224,3.048,3.088,1.284844,148.0
2002-03-08,3.2,3.216,3.096,3.184,1.324787,78.0
2002-03-11,3.184,3.2,3.04,3.04,1.264873,222.0
2002-03-12,3.176,3.192,3.16,3.192,1.328116,217.0
2002-03-13,3.2,3.24,3.16,3.192,1.328116,119.0
2002-03-14,3.224,3.272,3.2,3.232,1.344759,106.0
2002-03-15,3.224,3.28,3.176,3.272,1.361402,254.0
2002-03-18,3.296,3.296,3.24,3.28,1.364731,217.0
2002-03-19,3.28,3.352,3.184,3.352,1.394689,185.0
2002-03-20,3.32,3.424,3.264,3.424,1.424646,890.0
2002-03-21,3.304,3.36,3.28,3.328,1.384702,82.0
2002-03-22,3.272,3.312,3.208,3.248,1.351416,406.0
2002-03-25,3.2,3.256,3.2,3.232,1.344759,72.0
2002-03-26,3.248,3.344,3.24,3.328,1.384702,127.0
2002-03-27,3.264,3.288,3.264,3.28,1.364731,212.0
2002-03-28,3.32,3.512,3.32,3.512,1.461261,214.0
2002-03-29,3.512,3.512,3.512,3.512,1.461261,0.0
2002-04-01,3.512,3.72,3.384,3.568,1.484561,152.0
2002-04-02,3.64,3.64,3.376,3.376,1.404674,312.0
2002-04-03,3.472,3.472,3.28,3.28,1.364731,298.0
2002-04-04,3.28,3.424,3.28,3.424,1.424646,173.0
2002-04-05,3.4,3.512,3.376,3.48,1.447946,330.0
2002-04-08,3.408,3.448,3.352,3.44,1.431303,27.0
2002-04-09,3.456,3.456,3.376,3.376,1.404674,37.0
2002-04-10,3.376,3.48,3.376,3.448,1.434632,82.0
2002-04-11,3.448,3.592,3.416,3.592,1.494547,138.0
2002-04-12,3.592,3.76,3.592,3.72,1.547805,219.0
2002-04-15,3.56,3.8,3.44,3.72,1.547805,252.0
2002-04-16,3.72,3.992,3.72,3.92,1.63102,327.0
2002-04-17,3.88,3.96,3.848,3.92,1.63102,338.0
2002-04-18,3.84,3.84,3.648,3.688,1.53449,575.0
2002-04-19,3.72,3.728,3.544,3.568,1.484561,203.0
2002-04-22,3.632,3.632,3.408,3.56,1.481232,419.0
2002-04-23,3.6,3.6,3.44,3.512,1.461261,212.0
2002-04-24,3.632,3.704,3.6,3.68,1.531162,279.0
2002-04-25,3.64,3.712,3.52,3.712,1.544475,159.0
