Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.5,3.5425,3.5,3.5,1.531954,585600.0
2000-01-04,3.466666,3.474166,3.416666,3.416666,1.495479,782400.0
2000-01-05,3.375,3.416666,3.375,3.416666,1.495479,1876800.0
2000-01-06,3.416666,3.5,3.416666,3.416666,1.495479,792000.0
2000-01-07,3.458333,3.559166,3.458333,3.541666,1.550192,5347200.0
2000-01-10,3.75,3.833333,3.75,3.833333,1.677855,2980800.0
2000-01-11,3.833333,3.858333,3.808333,3.841666,1.681503,326400.0
2000-01-12,3.85,3.916666,3.841666,3.879166,1.697916,5068800.0
2000-01-13,4.008333,4.008333,4.008333,4.008333,1.754453,120000.0
2000-01-14,4.0175,4.083333,4.0175,4.083333,1.78728,3484800.0
2000-01-17,4.083333,4.166666,4.083333,4.166666,1.823755,230400.0
2000-01-18,4.125,4.125,4.025,4.041666,1.769043,3724800.0
2000-01-19,4.041666,4.050833,4.0,4.025,1.761748,1872000.0
2000-01-20,4.0,4.0,4.0,4.0,1.750805,748800.0
2000-01-21,4.0,4.0,3.916666,3.916666,1.714329,144000.0
2000-01-24,3.916666,4.041666,3.916666,4.0,1.750805,705600.0
2000-01-25,4.0,4.0,4.0,4.0,1.750805,0.0
2000-01-26,3.966666,3.966666,3.966666,3.966666,1.736215,196800.0
2000-01-27,4.041666,4.041666,4.0,4.0,1.750805,686400.0
2000-01-28,4.0,4.0,4.0,4.0,1.750805,211200.0
2000-01-31,4.0,4.0,4.0,4.0,1.750805,0.0
2000-02-01,3.916666,3.916666,3.916666,3.916666,1.714329,148800.0
2000-02-02,3.95,3.95,3.75,3.75,1.64138,739200.0
2000-02-03,3.708333,3.833333,3.708333,3.75,1.64138,4382400.0
2000-02-04,3.75,3.891666,3.75,3.891666,1.703387,345600.0
2000-02-07,3.916666,4.083333,3.916666,4.083333,1.78728,81600.0
2000-02-08,4.083333,4.320833,4.083333,4.320833,1.891235,1036800.0
2000-02-09,4.258333,4.366666,4.25,4.25,1.860231,6081600.0
2000-02-10,4.25,4.25,4.0,4.0,1.750805,3969600.0
2000-02-11,4.0,4.0,3.790833,3.790833,1.659253,43200.0
2000-02-14,3.791666,3.791666,3.741666,3.741666,1.637732,278400.0
2000-02-15,3.741666,3.833333,3.583333,3.833333,1.677855,158400.0
2000-02-16,3.833333,3.833333,3.833333,3.833333,1.677855,470400.0
2000-02-17,3.75,3.75,3.75,3.75,1.64138,9600.0
2000-02-18,3.75,3.75,3.75,3.75,1.64138,28800.0
2000-02-21,3.75,3.75,3.749166,3.75,1.64138,52800.0
